type,instnm,zip,fips,lon,lat,enroltot,frlpct,csr,magnet,charter,advise_org_1,advise_org_2,advise_org_3,advise_org_4,advise_org_5,advise_org_6,advise_org_7,advise_div_1,advise_div_2,advise_div_3,advise_div_4,advise_div_5,advise_div_6,advise_div_7,advise_tri_1,advise_tri_2,advise_tri_3,advise_tri_4,advise_tri_5,advise_web_1,advise_web_2,advise_web_3,advise_web_4,advise_web_5,advise_web_6,advise_web_7
high school,Glendale High,NA,6,-118.23334,34.14558,2692,69,449,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Herbert Hoover High,NA,6,-118.27043,34.16581,1756,65,439,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Anderson W. Clark Magnet High,NA,6,-118.25383,34.237278,1125,53,563,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Glendora High,NA,6,-117.83716,34.13509,2413,21,402,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Pivot Charter School North Valley,NA,6,-121.7923,39.74754,NA,53,484.01874490627546,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Gorman Learning Center,NA,6,-117.21701,34.068245,NA,34,484.01874490627546,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,El Cajon Valley High,NA,6,-116.94762,32.799183,1738,87,348,0,0,TRIO,NA,NA,NA,NA,NA,NA,TRIO: University Of California,NA,NA,NA,NA,NA,NA,Talent Search,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,El Capitan High,NA,6,-116.91713,32.868092,1582,54,396,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Granite Hills High,NA,6,-116.91506,32.799316,2494,57,480,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Grossmont High,NA,6,-116.98635,32.780697,2311,60,444,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Helix High,NA,6,-117.0376,32.754868,2500,61,500,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Monte Vista High,NA,6,-116.97345,32.735371,1705,75,426,0,0,TRIO,NA,NA,NA,NA,NA,NA,TRIO: University Of California,NA,NA,NA,NA,NA,NA,"Upward Bound Math & Science, Talent Search",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Mount Miguel High,NA,6,-117.01676,32.722595,1525,79,381,0,0,TRIO,NA,NA,NA,NA,NA,NA,TRIO: University Of California,NA,NA,NA,NA,NA,NA,"Upward Bound Math & Science, Talent Search",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Santana High,NA,6,-116.96838,32.856945,1480,47,493,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Valhalla High,NA,6,-116.92139,32.759449,2068,55,492,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Steele Canyon High,NA,6,-116.92516,32.730122,2053,28,513,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,West Hills High,NA,6,-117.01562,32.847584,1933,46,537,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Gustine High,NA,6,-121.00143,37.261238,517,70,259,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,La Puente High,NA,6,-117.95554,34.026035,1518,86,304,0,0,TRIO,NA,NA,NA,NA,NA,NA,TRIO: Mt. San Antonio College,NA,NA,NA,NA,NA,NA,Upward Bound,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Los Altos High,NA,6,-117.97569,34.007454,1996,67,399,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Glen A. Wilson High,NA,6,-117.94745,33.998169,1629,54,407,0,0,TRIO,NA,NA,NA,NA,NA,NA,TRIO: Occidental College,NA,NA,NA,NA,NA,NA,Upward Bound,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,William Workman High,NA,6,-117.93701,34.028912,1157,86,231,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Hanford High,NA,6,-119.64475,36.343929,1501,62,375,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
